,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Bruce Brown,SG,22,DET,4,2,14.3,1.3,3.5,0.357,0.3,1.3,0.2,1.0,2.3,0.444,0.393,0.5,0.5,1.0,0.3,1.8,2.0,0.5,0.5,0.3,0.5,2.0,3.3
22,Jaylen Brown,SG,22,BOS,9,9,30.4,4.9,9.7,0.506,1.6,4.4,0.35,3.3,5.2,0.638,0.586,2.6,3.3,0.767,0.7,5.1,5.8,1.1,0.7,0.2,1.7,3.3,13.9
23,Sterling Brown,SG,23,MIL,11,5,14.7,1.4,3.5,0.395,0.6,1.9,0.333,0.7,1.5,0.471,0.487,0.7,1.0,0.727,0.4,2.4,2.7,1.7,0.5,0.3,0.7,1.5,4.1
24,Deonte Burton,SG,25,OKC,3,0,1.3,0.3,1.7,0.2,0.0,0.7,0.0,0.3,1.0,0.333,0.2,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.7
25,Jimmy Butler,SF,29,PHI,12,12,35.1,6.6,14.6,0.451,1.0,3.8,0.267,5.6,10.8,0.515,0.486,5.3,6.0,0.875,1.8,4.3,6.1,5.2,1.4,0.6,1.8,1.7,19.4
26,José Calderón,PG,37,DET,3,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.3,0.0,0.0,0.0,0.0
27,Clint Capela,C,24,HOU,11,11,30.1,4.2,7.5,0.561,0.0,0.0,0.0,4.2,7.5,0.561,0.561,1.4,3.2,0.429,3.7,6.5,10.3,1.5,0.3,1.1,1.5,2.4,9.7
28,DeMarre Carroll,PF,32,BRK,5,3,23.8,1.8,7.6,0.237,1.4,4.8,0.292,0.4,2.8,0.143,0.329,1.6,1.6,1.0,1.2,2.8,4.0,0.4,0.8,0.0,0.6,1.6,6.6
29,Michael Carter-Williams,PG,27,ORL,5,0,18.4,2.4,6.2,0.387,0.4,1.6,0.25,2.0,4.6,0.435,0.419,1.4,1.6,0.875,0.4,3.6,4.0,2.4,0.6,0.0,1.6,2.4,6.6
30,Wilson Chandler,SF,31,LAC,4,0,13.0,1.3,4.0,0.313,0.3,2.5,0.1,1.0,1.5,0.667,0.344,1.0,1.0,1.0,0.0,1.5,1.5,0.5,0.5,0.0,0.8,1.8,3.8
31,Gary Clark,PF,24,HOU,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
32,Zach Collins,C,21,POR,16,0,17.2,2.6,5.1,0.506,0.4,1.3,0.333,2.1,3.8,0.567,0.549,1.3,1.6,0.8,1.0,2.6,3.6,0.9,0.4,1.4,1.3,3.4,6.8
33,Darren Collison,PG,31,IND,4,4,29.3,4.8,11.3,0.422,1.0,2.8,0.364,3.8,8.5,0.441,0.467,1.5,1.5,1.0,1.0,2.0,3.0,4.0,0.5,0.0,2.5,2.8,12.0
34,Pat Connaughton,SG,26,MIL,15,0,21.6,2.5,5.1,0.481,1.0,2.8,0.357,1.5,2.3,0.629,0.578,0.3,0.5,0.5,0.7,5.5,6.2,1.4,0.4,0.9,0.5,0.9,6.2
35,Quinn Cook,PG,25,GSW,17,0,11.4,1.6,4.1,0.4,0.6,2.0,0.324,1.0,2.1,0.472,0.479,0.2,0.2,1.0,0.1,0.9,1.1,0.7,0.2,0.1,0.4,0.8,4.2
36,DeMarcus Cousins,C,28,GSW,8,5,16.6,2.6,6.6,0.396,0.4,1.5,0.25,2.3,5.1,0.439,0.425,2.0,3.1,0.64,1.1,3.8,4.9,2.4,0.6,0.8,2.4,3.0,7.6
37,Torrey Craig,SF,28,DEN,14,11,23.6,2.4,4.9,0.478,1.2,2.6,0.472,1.1,2.4,0.485,0.601,0.6,1.1,0.563,1.5,3.6,5.1,0.9,0.5,0.4,0.4,2.7,6.6
38,Jae Crowder,SF,28,UTA,5,3,26.0,3.4,9.2,0.37,1.8,6.0,0.3,1.6,3.2,0.5,0.467,2.8,3.8,0.737,0.8,5.0,5.8,0.8,1.0,0.0,0.2,1.4,11.4
39,Dante Cunningham,PF,31,SAS,5,0,2.6,0.4,0.6,0.667,0.4,0.4,1.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.4,0.8,1.2,0.0,0.0,0.0,0.0,0.0,1.2
40,Seth Curry,SG,28,POR,16,0,20.4,1.9,5.1,0.366,1.3,3.3,0.404,0.6,1.9,0.3,0.494,0.6,0.7,0.818,0.3,1.3,1.6,0.8,0.8,0.3,0.4,1.7,5.6
41,Stephen Curry,PG,30,GSW,22,22,38.5,8.6,19.6,0.441,4.2,11.1,0.377,4.5,8.5,0.524,0.548,6.7,7.1,0.943,0.8,5.2,6.0,5.7,1.1,0.2,3.0,3.1,28.2
42,Ed Davis,C,29,BRK,3,0,13.7,2.3,3.3,0.7,0.0,0.0,0.0,2.3,3.3,0.7,0.7,0.7,0.7,1.0,1.3,5.0,6.3,0.7,0.0,0.3,0.0,3.0,5.3
43,DeMar DeRozan,SG,29,SAS,7,7,35.9,8.3,17.0,0.487,0.0,0.1,0.0,8.3,16.9,0.492,0.487,5.4,6.3,0.864,1.4,5.3,6.7,4.6,1.1,0.1,1.7,2.3,22.0
44,Spencer Dinwiddie,PG,25,BRK,5,0,26.2,5.4,12.4,0.435,1.8,4.8,0.375,3.6,7.6,0.474,0.508,2.0,2.8,0.714,0.8,1.8,2.6,1.6,0.4,0.0,1.6,2.0,14.6
45,Andre Drummond,C,25,DET,4,4,31.8,6.0,13.5,0.444,0.0,0.3,0.0,6.0,13.3,0.453,0.444,2.3,5.3,0.429,5.0,8.0,13.0,2.3,1.5,1.3,2.8,4.3,14.3
46,Jared Dudley,PF,33,BRK,4,2,20.5,0.8,2.8,0.273,0.5,2.3,0.222,0.3,0.5,0.5,0.364,1.0,1.0,1.0,0.0,0.5,0.5,2.8,0.8,0.3,1.0,2.5,3.0
47,Kevin Durant,SF,30,GSW,12,12,36.8,10.4,20.3,0.514,2.9,6.7,0.438,7.5,13.6,0.552,0.586,8.5,9.4,0.903,0.1,4.8,4.9,4.5,1.1,1.0,3.6,3.2,32.3
48,Wayne Ellington,SG,31,DET,4,4,32.8,2.8,8.8,0.314,1.8,5.5,0.318,1.0,3.3,0.308,0.414,0.5,0.5,1.0,0.8,3.0,3.8,1.3,0.8,0.0,0.5,1.0,7.8
49,Joel Embiid,C,24,PHI,11,11,30.4,6.2,14.5,0.428,1.1,3.5,0.308,5.1,10.9,0.467,0.465,6.7,8.2,0.822,1.9,8.5,10.5,3.4,0.7,2.3,3.6,3.1,20.2
50,James Ennis III,SF,28,PHI,11,0,21.1,2.8,5.8,0.484,0.8,2.9,0.281,2.0,2.9,0.688,0.555,1.1,1.7,0.632,1.5,2.4,3.8,1.1,0.4,0.3,0.9,2.8,7.5
51,Jacob Evans,SG,21,GSW,7,0,2.6,0.3,0.7,0.4,0.1,0.3,0.5,0.1,0.4,0.333,0.5,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.3,0.1,0.7
52,Tyreke Evans,SG,29,IND,4,0,21.0,5.3,12.0,0.438,2.8,5.0,0.55,2.5,7.0,0.357,0.552,2.0,3.5,0.571,0.0,4.3,4.3,0.8,0.5,0.3,1.5,2.0,15.3
53,Kenneth Faried,C,29,HOU,6,0,9.3,1.5,2.2,0.692,0.2,0.2,1.0,1.3,2.0,0.667,0.731,0.8,1.0,0.833,0.5,3.0,3.5,0.3,0.3,0.0,0.0,1.0,4.0
54,Derrick Favors,C,27,UTA,5,2,20.6,4.6,7.2,0.639,0.0,0.6,0.0,4.6,6.6,0.697,0.639,2.6,3.8,0.684,3.0,4.4,7.4,0.8,0.8,1.8,1.0,2.4,11.8
55,Raymond Felton,PG,34,OKC,5,0,11.4,0.8,2.6,0.308,0.4,1.6,0.25,0.4,1.0,0.4,0.385,0.2,0.4,0.5,0.0,0.6,0.6,0.6,0.8,0.2,0.4,1.4,2.2
56,Terrance Ferguson,SG,20,OKC,5,5,25.6,1.8,5.0,0.36,1.4,3.6,0.389,0.4,1.4,0.286,0.5,0.0,0.0,0.0,0.4,2.0,2.4,1.2,0.4,0.0,1.0,3.8,5.0
57,Bryn Forbes,SG,25,SAS,7,7,30.3,3.9,8.0,0.482,2.1,4.4,0.484,1.7,3.6,0.48,0.616,0.9,1.3,0.667,0.1,3.4,3.6,1.0,0.1,0.1,0.4,2.0,10.7
58,Evan Fournier,SG,26,ORL,5,5,35.0,4.8,13.8,0.348,1.6,6.8,0.235,3.2,7.0,0.457,0.406,1.2,1.6,0.75,0.6,2.6,3.2,2.0,1.4,0.0,2.4,2.8,12.4
59,Melvin Frazier,SG,22,ORL,3,0,5.0,0.7,1.7,0.4,0.0,0.0,0.0,0.7,1.7,0.4,0.4,0.3,0.7,0.5,0.3,1.0,1.3,0.0,0.3,0.0,0.0,0.0,1.7
60,Tim Frazier,PG,28,MIL,11,0,3.6,0.7,1.2,0.615,0.3,0.5,0.5,0.5,0.6,0.714,0.731,0.2,0.2,1.0,0.0,0.8,0.8,0.9,0.1,0.0,0.3,0.5,1.9
61,Enes Freedom,C,26,POR,16,14,28.8,4.7,9.1,0.514,0.1,0.3,0.25,4.6,8.9,0.521,0.517,1.9,2.6,0.756,3.3,6.4,9.7,1.2,0.7,0.6,1.6,2.3,11.4
62,Danilo Gallinari,SF,30,LAC,6,6,33.5,6.5,18.5,0.351,2.2,7.2,0.302,4.3,11.3,0.382,0.41,4.7,5.5,0.848,1.5,4.7,6.2,2.7,1.3,0.2,1.8,2.3,19.8
63,Langston Galloway,SG,27,DET,4,0,27.5,2.8,8.5,0.324,2.3,6.3,0.36,0.5,2.3,0.222,0.456,0.0,0.0,0.0,0.5,3.3,3.8,1.0,0.5,1.0,0.5,2.5,7.8
64,Marc Gasol,C,34,TOR,24,24,30.6,3.2,7.5,0.422,1.4,3.7,0.382,1.8,3.8,0.462,0.517,1.7,1.9,0.87,0.7,5.7,6.4,3.0,0.9,1.1,0.9,3.5,9.4
65,Rudy Gay,PF,32,SAS,7,0,25.6,4.0,10.0,0.4,1.1,2.7,0.421,2.9,7.3,0.392,0.457,2.0,2.4,0.824,1.9,5.3,7.1,1.7,0.4,0.7,1.4,1.9,11.1
66,Paul George,SF,28,OKC,5,5,40.8,8.8,20.2,0.436,3.0,9.4,0.319,5.8,10.8,0.537,0.51,8.0,9.8,0.816,1.2,7.4,8.6,3.6,1.4,0.2,4.0,4.2,28.6
67,Shai Gilgeous-Alexander,PG,20,LAC,6,6,28.8,4.7,10.0,0.467,1.5,3.0,0.5,3.2,7.0,0.452,0.542,2.8,3.3,0.85,0.7,2.0,2.7,3.2,1.0,0.8,0.8,2.8,13.7
68,Rudy Gobert,C,26,UTA,5,5,30.4,3.8,6.4,0.594,0.0,0.0,0.0,3.8,6.4,0.594,0.594,3.6,4.6,0.783,4.6,5.6,10.2,1.4,0.6,2.6,1.8,3.2,11.2
69,Aaron Gordon,PF,23,ORL,5,5,32.8,5.8,12.4,0.468,1.6,4.0,0.4,4.2,8.4,0.5,0.532,2.0,3.8,0.526,2.2,5.0,7.2,3.6,1.2,0.2,2.6,3.2,15.2
70,Eric Gordon,SG,30,HOU,11,11,37.3,6.1,13.6,0.447,3.5,8.6,0.4,2.6,5.0,0.527,0.573,2.2,2.5,0.857,0.5,2.0,2.5,1.3,0.6,1.0,2.5,2.0,17.8
71,Treveon Graham,SG,25,BRK,5,0,15.8,0.4,2.0,0.2,0.0,1.4,0.0,0.4,0.6,0.667,0.2,0.6,1.2,0.5,0.6,1.6,2.2,0.6,0.4,0.2,0.6,2.0,1.4
72,Jerami Grant,PF,24,OKC,5,5,35.2,4.0,8.0,0.5,1.8,4.0,0.45,2.2,4.0,0.55,0.613,1.8,2.6,0.692,1.2,4.4,5.6,0.8,0.6,2.0,0.8,2.6,11.6
73,Jerian Grant,PG,26,ORL,3,0,4.7,0.7,3.3,0.2,0.0,2.3,0.0,0.7,1.0,0.667,0.2,0.3,0.3,1.0,0.0,1.3,1.3,1.0,0.0,0.0,0.3,0.3,1.7
74,Danny Green,SG,31,TOR,24,24,28.5,2.2,6.5,0.342,1.6,5.0,0.328,0.6,1.5,0.389,0.468,0.9,1.0,0.913,0.7,2.9,3.6,1.1,1.3,0.5,1.1,2.5,6.9
75,Draymond Green,PF,28,GSW,22,22,38.7,5.2,10.4,0.498,0.6,2.6,0.228,4.6,7.8,0.587,0.526,2.3,3.2,0.718,1.9,8.3,10.1,8.5,1.5,1.5,3.8,3.9,13.3
76,Gerald Green,SG,33,HOU,11,0,8.8,1.1,3.6,0.3,0.9,2.6,0.345,0.2,1.0,0.182,0.425,0.5,0.5,1.0,0.0,1.1,1.1,0.1,0.3,0.3,0.3,1.1,3.5
77,JaMychal Green,PF,28,LAC,6,3,23.5,3.8,7.2,0.535,2.0,3.8,0.522,1.8,3.3,0.55,0.674,1.3,1.7,0.8,1.0,4.3,5.3,0.8,0.7,0.0,1.8,3.7,11.0
78,Blake Griffin,PF,29,DET,2,2,29.0,9.0,19.5,0.462,3.0,6.5,0.462,6.0,13.0,0.462,0.538,3.5,3.5,1.0,2.0,4.0,6.0,6.0,1.0,0.0,3.0,4.5,24.5
79,James Harden,PG,29,HOU,11,11,38.5,9.9,24.0,0.413,4.4,12.5,0.35,5.5,11.5,0.48,0.504,7.5,8.9,0.837,0.8,6.1,6.9,6.6,2.2,0.9,4.6,3.7,31.6
80,Maurice Harkless,SF,25,POR,16,16,24.3,3.3,6.8,0.477,0.4,1.8,0.25,2.8,5.1,0.556,0.509,1.4,2.3,0.639,1.8,3.1,4.9,1.4,1.1,1.0,1.1,3.5,8.4
81,Montrezl Harrell,C,25,LAC,6,0,26.3,7.7,10.5,0.73,0.0,0.2,0.0,7.7,10.3,0.742,0.73,3.0,4.3,0.692,2.0,3.5,5.5,2.2,0.5,0.7,1.3,3.2,18.3
82,Gary Harris,SG,24,DEN,14,14,36.9,5.2,11.3,0.462,1.4,4.1,0.351,3.8,7.2,0.525,0.525,2.4,2.7,0.868,0.6,3.5,4.1,2.3,0.9,0.6,0.8,2.7,14.2
83,Joe Harris,SG,27,BRK,5,5,29.8,3.2,8.6,0.372,0.8,4.2,0.19,2.4,4.4,0.545,0.419,1.6,1.6,1.0,1.2,3.0,4.2,0.6,0.6,0.0,1.8,2.4,8.8
84,Tobias Harris,PF,26,PHI,12,12,36.9,5.9,13.9,0.425,1.8,5.3,0.349,4.1,8.7,0.471,0.491,1.8,2.2,0.846,1.0,8.1,9.1,4.0,1.1,0.5,1.6,2.5,15.5
85,Isaiah Hartenstein,PF,20,HOU,2,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.0
86,Gordon Hayward,PF,28,BOS,9,0,29.7,3.2,7.8,0.414,1.0,2.7,0.375,2.2,5.1,0.435,0.479,2.1,2.1,1.0,0.3,3.7,4.0,2.4,0.7,0.3,1.7,1.8,9.6
87,Juancho Hernangómez,PF,23,DEN,5,0,3.0,0.2,0.6,0.333,0.2,0.4,0.5,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.2,0.4,0.6
88,Nenê,C,36,HOU,7,0,7.6,1.4,1.4,1.0,0.0,0.0,0.0,1.4,1.4,1.0,1.0,1.0,1.3,0.778,1.3,0.7,2.0,0.4,0.4,0.3,0.4,1.0,3.9
89,George Hill,PG,32,MIL,15,0,26.3,4.2,7.9,0.534,1.3,3.2,0.417,2.9,4.7,0.614,0.619,1.8,2.2,0.818,1.0,2.5,3.5,2.8,0.9,0.3,0.4,2.3,11.5
90,Aaron Holiday,PG,22,IND,3,0,4.3,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1.0,0.333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.7
91,Rondae Hollis-Jefferson,SF,24,BRK,4,0,15.5,4.0,8.3,0.485,0.3,0.3,1.0,3.8,8.0,0.469,0.5,5.0,6.3,0.8,0.8,2.3,3.0,1.5,0.3,1.3,0.8,1.8,13.3
92,Rodney Hood,SG,26,POR,16,0,23.3,3.3,6.9,0.468,1.1,3.2,0.353,2.1,3.8,0.567,0.55,2.3,2.8,0.818,0.6,1.7,2.3,0.9,0.4,0.2,0.4,1.8,9.9
93,Al Horford,C,32,BOS,9,9,34.4,5.1,12.2,0.418,2.0,4.9,0.409,3.1,7.3,0.424,0.5,1.7,2.0,0.833,1.4,7.6,9.0,4.4,0.4,0.8,2.1,2.3,13.9
94,Danuel House Jr.,SF,25,HOU,7,0,20.1,1.6,5.3,0.297,1.1,4.4,0.258,0.4,0.9,0.5,0.405,0.6,1.1,0.5,0.3,2.9,3.1,0.1,0.4,0.3,0.6,1.6,4.9
95,Serge Ibaka,C,29,TOR,24,0,20.8,3.8,8.0,0.477,0.4,1.6,0.237,3.5,6.5,0.535,0.5,1.3,1.8,0.762,1.5,4.5,6.0,0.9,0.5,1.0,1.0,3.3,9.4
96,Andre Iguodala,SF,35,GSW,21,15,30.0,3.9,7.9,0.494,1.3,3.8,0.35,2.6,4.1,0.628,0.578,0.7,1.8,0.378,1.3,3.0,4.3,4.0,1.1,1.1,1.0,2.0,9.8
97,Ersan İlyasova,PF,31,MIL,15,0,18.1,2.3,5.4,0.432,0.8,2.7,0.3,1.5,2.7,0.561,0.506,1.3,1.7,0.8,1.3,3.4,4.7,1.4,0.7,0.4,0.4,2.7,6.8
98,Joe Ingles,PF,31,UTA,5,5,30.2,2.4,7.4,0.324,1.6,5.8,0.276,0.8,1.6,0.5,0.432,0.0,0.0,0.0,0.6,4.2,4.8,5.0,2.2,0.0,1.6,2.8,6.4
99,Kyrie Irving,PG,26,BOS,9,9,36.7,7.7,19.9,0.385,2.0,6.4,0.31,5.7,13.4,0.421,0.436,4.0,4.4,0.9,0.6,3.9,4.4,7.0,1.3,0.4,3.1,2.9,21.3
100,Jonathan Isaac,PF,21,ORL,5,5,27.4,2.2,8.0,0.275,0.8,4.0,0.2,1.4,4.0,0.35,0.325,1.4,1.6,0.875,2.0,4.2,6.2,0.4,0.4,1.0,1.0,1.8,6.6
101,Wes Iwundu,SF,24,ORL,5,0,12.0,1.2,3.6,0.333,0.6,1.8,0.333,0.6,1.8,0.333,0.417,1.8,1.8,1.0,0.0,1.4,1.4,0.8,0.6,0.0,0.4,0.8,4.8
102,Reggie Jackson,PG,28,DET,4,4,27.0,7.0,16.3,0.431,2.3,5.3,0.429,4.8,11.0,0.432,0.5,1.5,1.8,0.857,1.3,2.0,3.3,7.0,0.8,0.0,1.3,3.0,17.8
103,Jonas Jerebko,PF,31,GSW,16,0,7.6,0.8,2.6,0.286,0.3,1.2,0.263,0.4,1.4,0.304,0.345,0.3,0.4,0.833,0.9,1.2,2.1,0.8,0.1,0.1,0.1,0.6,2.1
104,Amir Johnson,C,31,PHI,4,0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8,0.5,1.3,0.5,0.3,0.0,0.3,0.8,2.0
105,Nikola Jokić,C,23,DEN,14,14,39.8,9.4,18.6,0.506,1.6,4.0,0.393,7.9,14.6,0.537,0.548,4.7,5.6,0.846,3.9,9.1,13.0,8.4,1.1,0.9,2.6,3.9,25.1
106,Damian Jones,C,23,GSW,4,1,2.0,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,0.3,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.8,0.8
107,Cory Joseph,PG,27,IND,4,0,21.3,3.0,6.0,0.5,1.0,2.3,0.444,2.0,3.8,0.533,0.583,0.5,0.5,1.0,0.3,1.5,1.8,1.0,1.0,0.0,0.0,1.8,7.5
108,Luke Kennard,SG,22,DET,4,2,33.3,5.8,11.8,0.489,2.3,3.8,0.6,3.5,8.0,0.438,0.585,1.3,1.5,0.833,0.0,4.0,4.0,1.8,0.8,0.3,0.8,1.5,15.0
109,Furkan Korkmaz,SG,21,PHI,4,0,9.0,1.5,4.5,0.333,0.8,2.0,0.375,0.8,2.5,0.3,0.417,1.0,1.3,0.8,0.0,1.5,1.5,1.3,0.0,0.3,0.3,1.3,4.8
110,Kyle Korver,SG,37,UTA,4,0,7.5,0.8,2.0,0.375,0.5,1.5,0.333,0.3,0.5,0.5,0.5,0.5,0.8,0.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.5
111,Rodions Kurucs,SF,20,BRK,4,3,17.0,2.0,5.0,0.4,0.5,2.0,0.25,1.5,3.0,0.5,0.45,1.8,2.3,0.778,1.5,3.5,5.0,0.8,0.5,0.0,0.5,2.5,6.3
112,Skal Labissière,PF,22,POR,3,0,3.7,0.3,1.3,0.25,0.0,0.7,0.0,0.3,0.7,0.5,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7
113,Jake Layman,SF,24,POR,6,0,3.3,0.2,1.2,0.143,0.0,0.8,0.0,0.2,0.3,0.5,0.143,0.5,0.7,0.75,0.2,0.5,0.7,0.0,0.0,0.0,0.0,0.5,0.8
114,T.J. Leaf,PF,21,IND,1,0,10.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
115,Kawhi Leonard,SF,27,TOR,24,24,39.1,10.1,20.7,0.49,2.3,6.0,0.379,7.8,14.6,0.536,0.545,8.0,9.0,0.884,2.3,6.8,9.1,3.9,1.7,0.7,3.1,2.3,30.5
116,Meyers Leonard,C,26,POR,11,2,15.5,3.1,5.9,0.523,1.3,3.0,0.424,1.8,2.9,0.625,0.631,0.3,0.8,0.333,0.5,3.1,3.6,1.1,0.2,0.1,0.4,2.5,7.7
117,Jon Leuer,PF,29,DET,1,0,5.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
118,Caris LeVert,SF,24,BRK,5,2,28.8,7.2,14.6,0.493,2.4,5.2,0.462,4.8,9.4,0.511,0.575,4.2,5.8,0.724,1.2,3.4,4.6,3.0,1.0,0.4,2.0,1.6,21.0
